Mat,No.,ID,Qn,Q,Pt,SOC,SOE,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,SOH
NMC,62,J3-600,2.1,1.301,5,45,27.87857143,3.9096,3.9273,3.9341,3.9167,3.9112,3.8941,3.8867,3.9046,3.9084,3.9425,3.9577,3.922,3.9124,3.8786,3.8637,3.8994,3.9074,3.9781,4.0054,3.9344,3.9155,0.61952381
NMC,63,J4-100,2.1,1.8809,5,45,40.305,3.8219,3.8368,3.8445,3.8281,3.8234,3.8064,3.8005,3.8172,3.8206,3.8541,3.8665,3.8333,3.8247,3.7909,3.7791,3.8123,3.8197,3.8864,3.9099,3.8445,3.8278,0.895666667
NMC,64,J4-200,2.1,1.8001,5,45,38.57357143,3.8389,3.8535,3.8609,3.8451,3.8405,3.8244,3.8185,3.8343,3.8377,3.8696,3.8823,3.8507,3.8417,3.8095,3.7977,3.829,3.8371,3.9012,3.9248,3.8619,3.8448,0.857190476
NMC,65,J4-400,2.1,1.6412,5,45,35.16857143,3.8709,3.8864,3.8922,3.8767,3.8724,3.8572,3.8507,3.8662,3.8699,3.9,3.913,3.8833,3.8736,3.8442,3.8312,3.8619,3.8693,3.9304,3.9546,3.895,3.8764,0.78152381
NMC,66,J4-500,2.1,1.4674,5,45,31.44428571,3.8953,3.9115,3.918,3.9019,3.8966,3.8805,3.874,3.8898,3.8941,3.9264,3.9394,3.9071,3.8978,3.8653,3.8532,3.8848,3.8932,3.9567,3.9834,3.9192,3.9009,0.698761905
NMC,67,J4-600,2.1,1.3856,5,45,29.69142857,3.9015,3.918,3.9251,3.9084,3.9031,3.8876,3.8798,3.8966,3.9006,3.9341,3.9474,3.9143,3.9043,3.8709,3.8578,3.8907,3.8994,3.966,3.9927,3.9276,3.9071,0.659809524
NMC,1,D3-100,2.1,1.9155,5,50,45.60714286,3.8498,3.8668,3.8727,3.856,3.8513,3.8343,3.8284,3.8457,3.8488,3.8833,3.8947,3.8606,3.8526,3.8188,3.8073,3.8414,3.8482,3.9146,3.9384,3.8733,3.856,0.912142857
NMC,2,D3-200,2.1,1.8499,5,50,44.0452381,3.8612,3.8774,3.8833,3.8671,3.8631,3.8467,3.8408,3.8569,3.8603,3.8932,3.9046,3.8724,3.8643,3.8337,3.82,3.8519,3.8594,3.9208,3.9471,3.8839,3.8671,0.880904762
NMC,3,D3-300,2.1,1.8004,5,50,42.86666667,3.8811,3.8953,3.9025,3.8873,3.8823,3.8665,3.8609,3.8767,3.8802,3.9099,3.9233,3.8922,3.8836,3.8516,3.8408,3.8724,3.8792,3.9431,3.9648,3.9019,3.886,0.857333333
NMC,4,D3-400,2.1,1.7452,5,50,41.55238095,3.8836,3.8991,3.9053,3.8895,3.8854,3.8693,3.864,3.8792,3.8829,3.913,3.926,3.895,3.8867,3.856,3.8436,3.8749,3.8823,3.9434,3.9676,3.9065,3.8891,0.831047619
NMC,5,D3-500,2.1,1.6421,5,50,39.09761905,3.8916,3.9078,3.9133,3.8978,3.8929,3.8771,3.8709,3.8873,3.8907,3.9223,3.9347,3.9028,3.8944,3.864,3.8507,3.8823,3.8898,3.9543,3.9775,3.9146,3.8972,0.781952381
NMC,6,D3-600,2.1,1.5016,5,50,35.75238095,3.9146,3.931,3.9375,3.9214,3.9161,3.9006,3.8932,3.9096,3.914,3.9468,3.9598,3.927,3.9177,3.8854,3.8721,3.905,3.913,3.9791,4.0045,3.9384,3.9205,0.715047619
NMC,7,D4-100,2.1,1.9134,5,50,45.55714286,3.8488,3.8647,3.8709,3.855,3.8504,3.8346,3.829,3.8451,3.8482,3.8805,3.8919,3.8603,3.8519,3.8194,3.8082,3.8411,3.8476,3.9127,3.9344,3.8718,3.8547,0.911142857
NMC,8,D4-200,2.1,1.8448,5,50,43.92380952,3.8609,3.8761,3.882,3.8668,3.8625,3.8467,3.8408,3.8569,3.8603,3.8919,3.9028,3.8715,3.8637,3.834,3.8209,3.8529,3.8594,3.9233,3.9443,3.8814,3.8668,0.87847619
NMC,9,D4-300,2.1,1.7955,5,50,42.75,3.8829,3.8988,3.904,3.8882,3.8845,3.869,3.8631,3.8786,3.882,3.914,3.9245,3.8932,3.8857,3.8544,3.8436,3.8749,3.8814,3.944,3.9651,3.9031,3.8882,0.855
NMC,10,D4-400,2.1,1.7384,5,50,41.39047619,3.8854,3.8991,3.9056,3.8907,3.8867,3.8718,3.8659,3.8811,3.8842,3.914,3.9257,3.8957,3.8879,3.8581,3.8467,3.8767,3.8833,3.9422,3.9654,3.9062,3.8907,0.827809524
NMC,11,D4-500,2.1,1.6765,5,50,39.91666667,3.8888,3.904,3.9096,3.8944,3.8904,3.8749,3.8693,3.8845,3.8879,3.9186,3.9295,3.8991,3.8916,3.8625,3.8501,3.8805,3.887,3.9474,3.9698,3.9096,3.8944,0.798333333
NMC,12,D4-600,2.1,1.6112,5,50,38.36190476,3.9019,3.9161,3.9229,3.9078,3.9034,3.8882,3.882,3.8972,3.9006,3.9304,3.9431,3.9124,3.9046,3.8749,3.8619,3.8929,3.8997,3.9595,3.984,3.9229,3.9074,0.767238095
